year,month,mslp_anomaly,mslp_standardised,soi
1999,11,1.7,1.0,1.0
1999,12,2.4,1.4,1.4
2000,01,1.1,0.7,0.7
2000,02,2.7,1.7,1.7
2000,03,2.2,1.3,1.3
2000,04,2.0,1.2,1.2
2000,05,0.6,0.4,0.4
2000,06,-0.3,-0.2,-0.2
2000,07,-0.3,-0.2,-0.2
2000,08,1.2,0.7,0.7
2000,09,1.4,0.9,0.9
2000,10,1.8,1.1,1.1
2000,11,3.0,1.8,1.8
2000,12,1.3,0.8,0.8
2001,01,1.6,1.0,1.0
2001,02,2.8,1.7,1.7
2001,03,1.5,0.9,0.9
2001,04,0.3,0.2,0.2
2001,05,-0.8,-0.5,-0.5
2001,06,0.5,0.3,0.3
2001,07,-0.3,-0.2,-0.2
2001,08,-0.7,-0.4,-0.4
2001,09,0.3,0.2,0.2
2001,10,-0.1,-0.0,-0.0
2001,11,1.1,0.7,0.7
2001,12,-1.4,-0.8,-0.8
2002,01,0.7,0.4,0.4
2002,02,1.8,1.1,1.1
2002,03,-0.4,-0.2,-0.2
2002,04,-0.1,-0.1,-0.1
2002,05,-1.4,-0.8,-0.8
2002,06,-0.4,-0.2,-0.2
2002,07,-0.8,-0.5,-0.5
2002,08,-1.6,-1.0,-1.0
2002,09,-1.0,-0.6,-0.6
2002,10,-0.6,-0.4,-0.4
2002,11,-0.7,-0.5,-0.5
2002,12,-1.8,-1.1,-1.1
2003,01,-0.3,-0.2,-0.2
2003,02,-1.1,-0.7,-0.7
2003,03,-0.5,-0.3,-0.3
2003,04,-0.2,-0.1,-0.1
2003,05,-0.5,-0.3,-0.3
2003,06,-1.0,-0.6,-0.6
2003,07,0.5,0.3,0.3
2003,08,0.2,0.1,0.1
2003,09,-0.2,-0.1,-0.1
2003,10,0.0,0.0,0.0
2003,11,-0.5,-0.3,-0.3
2003,12,1.8,1.1,1.1
2004,01,-2.2,-1.3,-1.3
2004,02,2.0,1.2,1.2
2004,03,0.7,0.4,0.4
2004,04,-1.5,-0.9,-0.9
2004,05,1.7,1.0,1.0
2004,06,-1.4,-0.8,-0.8
2004,07,-0.8,-0.5,-0.5
2004,08,-0.5,-0.3,-0.3
2004,09,-0.6,-0.3,-0.3
2004,10,-0.1,-0.1,-0.1
2004,11,-1.1,-0.7,-0.7
2004,12,-1.3,-0.8,-0.8
2005,01,0.6,0.3,0.3
2005,02,-5.2,-3.1,-3.1
2005,03,0.5,0.3,0.3
2005,04,-1.0,-0.6,-0.6
2005,05,-1.3,-0.8,-0.8
2005,06,0.7,0.4,0.4
2005,07,0.3,0.2,0.2
2005,08,-0.6,-0.3,-0.3
2005,09,0.6,0.4,0.4
2005,10,2.0,1.2,1.2
2005,11,-0.3,-0.2,-0.2
2005,12,-0.0,-0.0,-0.0
2006,01,2.7,1.7,1.7
2006,02,0.2,0.1,0.1
2006,03,2.9,1.8,1.8
2006,04,1.8,1.1,1.1
2006,05,-0.8,-0.5,-0.5
2006,06,-0.4,-0.2,-0.2
2006,07,-1.0,-0.6,-0.6
2006,08,-1.7,-1.0,-1.0
2006,09,-1.0,-0.6,-0.6
2006,10,-2.1,-1.3,-1.3
2006,11,0.1,0.1,0.1
2006,12,-0.5,-0.3,-0.3
2007,01,-1.3,-0.8,-0.8
2007,02,-0.1,-0.1,-0.1
2007,03,0.3,0.2,0.2
2007,04,-0.2,-0.1,-0.1
2007,05,-0.2,-0.1,-0.1
2007,06,0.9,0.5,0.5
2007,07,-0.5,-0.3,-0.3
2007,08,0.7,0.4,0.4
2007,09,0.3,0.2,0.2
2007,10,1.2,0.7,0.7
2007,11,1.4,0.9,0.9
2007,12,2.7,1.7,1.7
2008,01,2.9,1.8,1.8
2008,02,4.4,2.6,2.6
2008,03,2.4,1.4,1.4
2008,04,1.1,0.7,0.7
2008,05,-0.1,-0.1,-0.1
2008,06,1.0,0.6,0.6
2008,07,0.5,0.3,0.3
2008,08,1.7,1.0,1.0
2008,09,2.0,1.2,1.2
2008,10,2.1,1.3,1.3
2008,11,2.2,1.3,1.3
2008,12,2.4,1.4,1.4
2009,01,1.8,1.1,1.1
2009,02,3.1,1.9,1.9
2009,03,0.7,0.4,0.4
2009,04,1.3,0.8,0.8
2009,05,-0.2,-0.1,-0.1
2009,06,0.2,0.1,0.1
2009,07,0.4,0.2,0.2
2009,08,-0.3,-0.2,-0.2
2009,09,0.5,0.3,0.3
2009,10,-2.0,-1.2,-1.2
2009,11,-1.0,-0.6,-0.6
2009,12,-1.2,-0.7,-0.7
2010,01,-1.8,-1.1,-1.1
2010,02,-2.4,-1.5,-1.5
2010,03,-1.1,-0.7,-0.7
2010,04,2.0,1.2,1.2
2010,05,1.5,0.9,0.9
2010,06,0.6,0.4,0.4
2010,07,3.0,1.8,1.8
2010,08,3.0,1.8,1.8
2010,09,3.7,2.2,2.2
2010,10,2.9,1.7,1.7
2010,11,2.1,1.3,1.3
2010,12,4.8,2.9,2.9
2011,01,3.8,2.3,2.3
2011,02,4.5,2.7,2.7
2011,03,4.2,2.5,2.5
2011,04,3.1,1.9,1.9
2011,05,0.6,0.4,0.4
2011,06,0.4,0.2,0.2
2011,07,1.6,1.0,1.0
2011,08,0.7,0.4,0.4
2011,09,1.7,1.0,1.0
2011,10,1.2,0.8,0.8
2011,11,1.8,1.1,1.1
2011,12,4.1,2.5,2.5
2012,01,1.8,1.1,1.1
2012,02,0.8,0.5,0.5
2012,03,1.2,0.7,0.7
2012,04,-0.4,-0.3,-0.3
2012,05,0.1,0.0,0.0
2012,06,-0.7,-0.4,-0.4
2012,07,-0.1,-0.0,-0.0
2012,08,-0.3,-0.2,-0.2
2012,09,0.4,0.2,0.2
2012,10,0.5,0.3,0.3
2012,11,0.4,0.3,0.3
2012,12,-1.0,-0.6,-0.6
2013,01,-0.1,-0.1,-0.1
2013,02,-0.4,-0.2,-0.2
2013,03,2.5,1.5,1.5
2013,04,0.4,0.2,0.2
2013,05,1.3,0.8,0.8
2013,06,2.0,1.2,1.2
2013,07,1.3,0.8,0.8
2013,08,0.3,0.2,0.2
2013,09,0.5,0.3,0.3
2013,10,-0.1,-0.1,-0.1
2013,11,1.2,0.7,0.7
2013,12,0.1,0.1,0.1
2014,01,2.4,1.4,1.4
2014,02,0.1,0.1,0.1
2014,03,-1.5,-0.9,-0.9
2014,04,1.3,0.8,0.8
2014,05,0.9,0.5,0.5
2014,06,0.3,0.2,0.2
2014,07,-0.3,-0.2,-0.2
2014,08,-1.2,-0.7,-0.7
2014,09,-1.2,-0.7,-0.7
2014,10,-1.0,-0.6,-0.6
2014,11,-1.5,-0.9,-0.9
2014,12,-0.9,-0.6,-0.6
2015,01,-1.4,-0.8,-0.8
2015,02,0.4,0.2,0.2
2015,03,-1.2,-0.7,-0.7
2015,04,-0.1,-0.0,-0.0
2015,05,-1.2,-0.7,-0.7
2015,06,-0.9,-0.6,-0.6
2015,07,-1.9,-1.1,-1.1
2015,08,-2.4,-1.4,-1.4
2015,09,-2.7,-1.6,-1.6
2015,10,-2.8,-1.7,-1.7
2015,11,-0.8,-0.5,-0.5
2015,12,-0.9,-0.6,-0.6
2016,01,-3.6,-2.2,-2.2
2016,02,-3.2,-2.0,-2.0
2016,03,-0.1,-0.1,-0.1
2016,04,-2.0,-1.2,-1.2
2016,05,0.7,0.4,0.4
2016,06,1.1,0.6,0.6
2016,07,0.7,0.4,0.4
2016,08,1.2,0.7,0.7
2016,09,2.0,1.2,1.2
2016,10,-0.4,-0.3,-0.3
2016,11,-0.2,-0.1,-0.1
2016,12,0.5,0.3,0.3
